time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
3600,SWV,20,15,1,1629,3601.1927,2
3600,SWV,20,15,2,1813,3601.7242,2
3600,SWV,20,15,3,1679,3602.1135,2
3600,SWV,20,15,4,1787,3601.2908,2
3600,SWV,50,10,0,3055,3601.992,2
3600,SWV,50,10,1,3147,3601.945,2
3600,SWV,50,10,2,3115,3602.3435,2
3600,SWV,50,10,3,2969,3601.7309,2
3600,SWV,50,10,4,2970,3601.6092,2
3600,SWV,50,10,5,2924,8.976,4
3600,SWV,50,10,6,2794,9.3063,4
3600,SWV,50,10,7,2852,9.7199,4
3600,SWV,50,10,8,2843,6.2753,4
3600,SWV,50,10,9,2823,3.439,4
3600,DMU,20,15,0,2563,3600.9645,2
3600,DMU,20,15,1,2706,3601.7718,2
3600,DMU,20,15,2,2736,3600.9573,2
3600,DMU,20,15,3,2675,3600.8705,2
3600,DMU,20,15,4,2756,3601.039,2
